bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city
Sedan,5.0,35739,2019,Petrol,1,Manual,650000,Third Party insurance,1197.0,Hyundai,5,20.14,FWD,chennai
Hatchback,5.0,120000,2016,Petrol,2,Automatic,500000,Third Party insurance,1199.0,Honda,5,19.0,FWD,chennai
MUV,7.0,18000,2019,Diesel,1,Manual,1145000,Comprehensive,1248.0,Maruti,5,24.52,FWD,chennai
SUV,5.0,21000,2019,Diesel,1,Manual,1600000,Comprehensive,1956.0,Tata,6,16.35,FWD,chennai
Hatchback,5.0,70404,2016,Petrol,1,Manual,540000,Comprehensive,1197.0,Maruti,5,21.4,FWD,chennai
Sedan,5.0,63000,2015,Petrol,1,Manual,675000,Comprehensive,1598.0,Volkswagen,5,16.09,FWD,chennai
Sedan,5.0,88000,2017,Petrol,2,Manual,509999,Third Party insurance,1198.0,Volkswagen,5,17.0,FWD,chennai
Sedan,5.0,65000,2017,Petrol,1,Manual,830000,Comprehensive,1497.0,Honda,5,17.4,FWD,chennai
SUV,7.0,30000,2017,Diesel,2,Automatic,3900000,Third Party insurance,2179.0,Land Rover,9,12.51,4WD,chennai
Sedan,5.0,71423,2012,Petrol,1,Automatic,509999,Comprehensive,1497.0,Honda,5,15.6,FWD,chennai
MUV,6.0,80000,2019,Petrol,1,Automatic,1200000,Third Party insurance,1462.0,Maruti,4,17.99,FWD,chennai
Sedan,5.0,85759,2017,Petrol,1,Manual,766000,Third Party,1497.0,Honda,5,17.8,FWD,chennai
Hatchback,5.0,24422,2019,Petrol,1,Manual,449000,Zero Dep,1086.0,Hyundai,5,20.3,FWD,chennai
Sedan,5.0,90000,2017,Petrol,4,Manual,750000,Third Party insurance,1591.0,Hyundai,6,17.0,FWD,chennai
Hatchback,5.0,67091,2012,Petrol,2,Manual,317000,Third Party,1198.0,Honda,5,19.4,FWD,chennai
SUV,5.0,72787,2020,Petrol,1,Manual,1560000,Third Party,1451.0,MG,6,15.81,FWD,chennai
SUV,7.0,120000,2017,Diesel,2,Manual,1900000,Third Party insurance,2198.0,Ford,6,13.5,4WD,chennai
Hatchback,5.0,90142,2017,Petrol,1,Manual,522000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,chennai
Hatchback,5.0,150000,2015,Petrol,1,Manual,500000,Third Party insurance,1197.0,Hyundai,5,18.6,FWD,chennai
Hatchback,5.0,33256,2018,Petrol,1,Manual,627000,Comprehensive,1194.0,Ford,5,19.0,FWD,chennai
Hatchback,5.0,70027,2018,Petrol,1,Automatic,687000,Comprehensive,1197.0,Maruti,5,21.4,FWD,chennai
