it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText,heading,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,heading,top_features,Comfort & Convenience - Comfort,Interior - Interior,Exterior - Exterior,Safety - Safety,Entertainment & Communication - Entertainment,heading,Mileage,Engine,Max Power,Torque,Wheel Size,Seats,Engine and Transmission - Color,Engine and Transmission - Engine Type,Engine and Transmission - Displacement,Engine and Transmission - Max Power,Engine and Transmission - Max Torque,Engine and Transmission - No of Cylinder,Engine and Transmission - Values per Cylinder,Engine and Transmission - Value Configuration,Engine and Transmission - Fuel Suppy System,Engine and Transmission - Turbo Charger,Engine and Transmission - Super Charger,Dimensions & Capacity - Length,Dimensions & Capacity - Width,Dimensions & Capacity - Height,Dimensions & Capacity - Wheel Base,Dimensions & Capacity - Front Tread,Dimensions & Capacity - Rear Tread,Dimensions & Capacity - Kerb Weight,Miscellaneous - Gear Box,Miscellaneous - Drive Type,Miscellaneous - Seating Capacity,Miscellaneous - Steering Type,Miscellaneous - Turning Radius,Miscellaneous - Front Brake Type,Miscellaneous - Rear Brake Type,Miscellaneous - Top Speed,Miscellaneous - Acceleration,Miscellaneous - Tyre Type,Miscellaneous - Alloy Wheel Size,Miscellaneous - No Door Numbers,Miscellaneous - Cargo Volumn,Dimensions & Capacity - Gross Weight,Engine and Transmission - BoreX Stroke,Engine and Transmission - Compression Ratio,Dimensions & Capacity - Ground Clearance Unladen,city
0,Petrol,Hatchback,"1,19,106",Manual,2,2nd Owner,Maruti,Maruti Swift,2015,10405,ZXI,₹ 4.71 Lakh,₹ 4.86 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2013,Third Party insurance,Diesel,5 Seats,"70,000 Kms",RJ28,Second Owner,1998 cc,Manual,2013.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Power Door Locks, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Rear Reading Lamp, Rear Seat Headrest, Rear Seat Centre Arm Rest, Height Adjustable Front Seat Belts, Cup Holders Front, Cup Holders Rear, Multifunction Steering Wheel, Cruise Control","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Electronic Multi Tripmeter, Leather Seats, Leather Steering Wheel, Glove Compartment, Digital Clock, Cigarette Lighter","Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rain Sensing Wiper, Rear Window Defogger, Alloy Wheels, Power Antenna, Tinted Glass, Sun Roof","Anti Lock Braking System, Power Door Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer","Cd Player, Radio, Speakers Front, Speakers Rear",Specifications,17.3 kmpl,1998 CC,163.7bhp,380Nm,16,5,Others,VCDi Diesel Engine,1998,163.7bhp@3800rpm,380Nm@2000rpm,4.0,4.0,DOHC,CRDI,Yes,No,4597mm,1788mm,1477mm,2685mm,,,1520kg,6 Speed,FWD,5,Power,5.4 metres,Disc,Disc,,,"Tubeless,Radial",16,4,,,,,,jaipur
0,Petrol,Sedan,"60,000",Manual,2,2nd Owner,Honda,Honda City,2011,1247,1.5 V MT,₹ 3.40 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2015,Third Party insurance,Diesel,5 Seats,"80,000 Kms",RJ14,First Owner,1498 cc,Manual,2015.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Rear Seat Centre Arm Rest, Cup Holders Front, Cup Holders Rear, Multifunction Steering Wheel, Cruise Control, Rear ACVents","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Outside Temperature Display","Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Rear Window Defogger, Wheel Covers, Power Antenna","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Crash Sensor, Ebd, Anti Theft Device","Radio, Speakers Front, Speakers Rear",Specifications,26 kmpl,1498 CC,98.6bhp,200Nm,,5,Others,i DTEC Diesel Engine ,1498,98.6bhp@3600rpm,200Nm@1750rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1150kg,6 Speed ,FWD,5,Power,5.3 metres,Disc,Drum,190 Kmph,10 Seconds,"Tubeless,Radial",,4,510-litres,,76.0 X 82.5 mm,16.0:1,,jaipur
0,Diesel,Hatchback,"60,000",Manual,1,1st Owner,Maruti,Maruti Swift,2017,6236,DDiS VDI,₹ 6.59 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2017,Third Party insurance,Petrol,5 Seats,"60,000 Kms",RJ14,First Owner,799 cc,Manual,2017.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Radio","Power Steering, Power Windows Front, Low Fuel Warning Light, Accessory Power Outlet, Rear Seat Headrest, Height Adjustable Front Seat Belts, Cup Holders Front, Navigation System, Gear Shift Indicator","Air Conditioner, Heater, Digital Odometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Dual Tone Dashboard","Adjustable Head Lights, Fog Lights Front, Manually Adjustable Exterior Rear View Mirror, Wheel Covers, Power Antenna, Tinted Glass, Rear Spoiler","Centeral Locking, Power Door Locks, Child Safety Locks, Driver Air Bag, Passenger Side Rear View Mirror, Rear Seat Belts, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Anti Theft Device","Radio, Speakers Front, Usb Auxiliary Input, Bluetooth, Touch Screen, Number Of Speaker",Specifications,25.17 kmpl,799 CC,53.3bhp,72Nm,,5,Others,Petrol Engine,799,53.3bhp@5678rpm,72Nm@4386rpm,3.0,4.0,DOHC,MPFi,No,No,3679mm,1579mm,1478mm,2422mm,,,710,5 Speed,FWD,5,Power,4.9 metres,Disc,Drum,135 Kmph,16 Seconds,"Tubeless,Radial",,5,300-litres,,,,,jaipur
0,Petrol,Hatchback,"80,000",Manual,1,1st Owner,Maruti,Maruti Alto 800,2019,7075,VXI BSVI,₹ 3.70 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2011,Third Party insurance,Diesel,5 Seats,"1,20,000 Kms",,First Owner,1248 cc,Manual,2011.0,Features,"Power Steering, Power Windows Front, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Cd Player, Radio","Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Height Adjustable Front Seat Belts, Cup Holders Front, Seat Lumbar Support, Multifunction Steering Wheel",,"Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Manually Adjustable Exterior Rear View Mirror, Alloy Wheels, Integrated Antenna, Tinted Glass",,"Cd Player, Radio, Audio System Remote Control, Speakers Front, Speakers Rear",Specifications,18 kmpl,1248 CC,,,14,5,Others,,1248,,,4.0,4.0,,,,,,,,,,,,,,5,Power,,,,,,"Tubeless,Radial",14,5,,,,,,jaipur
0,Diesel,Hatchback,"1,43,000",Manual,2,2nd Owner,Maruti,Maruti Swift,2012,4198,Star VDI,₹ 4 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2009,Third Party insurance,Petrol,5 Seats,"70,000 Kms",RJ14,Third Owner,796 cc,Manual,2009.0,Features,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Tinted Glass, Brake Assist, Halogen Headlamps, Usb Auxiliary Input","Power Steering, Remote Trunk Opener, Low Fuel Warning Light, Rear Seat Headrest, Cup Holders Front","Air Conditioner, Heater, Electronic Multi Tripmeter, Glove Compartment","Manually Adjustable Exterior Rear View Mirror, Tinted Glass","Brake Assist, Halogen Headlamps, Rear Seat Belts, Door Ajar Warning, Side Impact Beams, Engine Check Warning","Usb Auxiliary Input, Bluetooth",Specifications,19.7 kmpl,796 CC,46.3bhp,62Nm,12,5,Others,In-Line Engine,796,46.3bhp@6200rpm,62Nm@3000rpm,3.0,4.0,SOHC,MPFI,No,No,3495mm,1475mm,1460mm,2360mm,1295mm,1290mm,705kg,5 Speed,FWD,5,Power,4.6m,Disc,Drum,137km/hr,17.7 seconds,"Tubeless,Radial",12,5,,1140kg,68.5 x 72.0 mm,,,jaipur
0,Diesel,Hatchback,"50,000",Manual,1,1st Owner,Maruti,Maruti Swift,2018,4177,VDI Optional,₹ 7 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2012,Third Party insurance,Petrol,5 Seats,"90,000 Kms",RJ14,Second Owner,1197 cc,Manual,2012.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Power Antenna, Centeral Locking, Day Night Rear View Mirror","Power Steering, Power Windows Front, Power Windows Rear, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Seat Headrest, Cup Holders Front, Seat Lumbar Support","Air Conditioner, Heater, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment","Manually Adjustable Exterior Rear View Mirror, Power Antenna, Chrome Grille","Centeral Locking, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Side Impact Beams, Front Impact Beams, Adjustable Seats, Centrally Mounted Fuel Tank, Engine Immobilizer",,Specifications,20.36 kmpl,1197 CC,78.9bhp,111.7Nm,13,5,Others,Kappa Petrol Engine,1197,78.9bhp@6000rpm,111.7Nm@4000rpm,4.0,4.0,DOHC ,MPFI,No,No,3585mm,1595mm,1550mm,2380mm,1400mm,1385mm,930,5 Speed,FWD,5,Power,,Ventilated Disc,Drum,,,"Tubeless,Radial",13,4,,,71 x 75.6 mm,10.5:1 ,,jaipur
0,Diesel,Sedan,"1,05,000",Automatic,1,1st Owner,Volkswagen,Volkswagen Passat,2011,1936,Diesel Comfortline AT,₹ 7.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,,Third Party insurance,Petrol,5 Seats,"1,20,000 Kms",,First Owner,993 cc,Manual,,Features,"Remote Fuel Lid Opener, Low Fuel Warning Light, Air Conditioner, Centeral Locking, Power Door Locks","Remote Fuel Lid Opener, Low Fuel Warning Light, Trunk Light, Rear Seat Headrest",Air Conditioner,,"Centeral Locking, Power Door Locks, Child Safety Locks, Rear Seat Belts, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Engine Immobilizer, Engine Check Warning",,Specifications,17.3 kmpl,993 CC,60 PS ,78 Nm ,12,5,Others,In-Line Engine,993,60 PS @ 6000 rpm ,78 Nm @ 4500 rpm ,4.0,4.0,SOHC,MPFI,No,No,3535mm,1495mm,1405mm,2335mm,,,765kg,5 Speed,,5,Power,4.9 m,"Disc, 236 mm",Drums 180 mm,145 kmph,17.5 seconds,Radial,12,5,,1190kg,,9.4:1,,jaipur
0,Diesel,MUV,"1,10,000",Automatic,1,1st Owner,Toyota,Toyota Innova Crysta,2016,2403,2.8 ZX AT BSIV,₹ 20 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2017,Third Party insurance,Petrol,5 Seats,"40,000 Kms",RJ14,First Owner,998 cc,Manual,2017.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Cup Holders Front","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Dual Tone Dashboard","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Wheel Covers, Power Antenna, Chrome Grille, Chrome Garnish, Roof Rail","Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Anti Theft Device","Cd Player, Radio, Speakers Front, Speakers Rear, Usb Auxiliary Input, Number Of Speaker",Specifications,20.51 kmpl,998 CC,67.04bhp,90Nm,,5,Others,K10B Petrol Engine,998,67.04bhp@6200rpm,90Nm@3500rpm,3.0,4.0,DOHC,,No,No,3599mm,1495mm,1700mm,2400mm,1295mm,1290mm,885kg,5 Speed,FWD,5,Power,4.6 metres,Ventilated Disc,Drum,152 kmph,18.6 Seconds,Tubeless Tyres,,5,180-liters,1350kg,69 x 72 mm,,,jaipur
0,Petrol,Sedan,"80,000",Manual,1,1st Owner,Honda,Honda City,2011,1247,1.5 V MT,₹ 3.60 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2015,Third Party insurance,Petrol,5 Seats,"70,000 Kms",RJ14,First Owner,998 cc,Automatic,2015.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Cup Holders Front, Gear Shift Indicator","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Dual Tone Dashboard","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Wheel Covers, Power Antenna, Chrome Grille, Chrome Garnish, Roof Rail","Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Anti Theft Device","Cd Player, Radio, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Number Of Speaker",Specifications,20.51 kmpl,998 CC,67bhp,90Nm,,5,Others,K10B Petrol Engine,998,67bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,,No,No,3599mm,1495mm,1700mm,2400mm,1295mm,1290mm,890kg,5 Speed,FWD,5,Power,4.6 metres,Ventilated Disc,Drum,152 kmph,18.6 Seconds,Tubeless Tyres,,5,180-liters,1350kg,69 x 72 mm,,,jaipur
0,Petrol,Hatchback,"1,21,617",Manual,2,2nd Owner,Maruti,Maruti Swift,2013,10403,VXI,₹ 3.68 Lakh,₹ 3.83 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2015,Third Party insurance,Petrol,5 Seats,"60,000 Kms",,First Owner,814 cc,Manual,2015.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Child Safety Locks, Driver Air Bag","Power Steering, Power Windows Front, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Rear Seat Headrest, Cup Holders Front, Gear Shift Indicator","Air Conditioner, Heater, Digital Odometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment","Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Power Antenna, Tinted Glass, Rear Spoiler, Chrome Grille","Child Safety Locks, Driver Air Bag, Day Night Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Anti Theft Device",,Specifications,21.1 kmpl,814 CC,55.2bhp,74.5Nm,,5,Others,Petrol Engine,814,55.2bhp@5500rpm,74.5Nm@4000rpm,3.0,3.0,SOHC,MPFI,No,No,3495mm,1550mm,1500mm,2380mm,1386mm,1368mm,880,5 Speed,FWD,5,Power,4.6 metres,Disc,Drum,135 Kmph,19 Seconds,Tubeless,,5,215-litres,,,,,jaipur
0,Petrol,Sedan,"83,825",Manual,2,2nd Owner,Volkswagen,Volkswagen Vento,2015,2008,Petrol Highline,₹ 5.56 Lakh,₹ 5.62 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2011,Third Party insurance,Petrol,5 Seats,"80,000 Kms",,First Owner,1496 cc,Manual,2011.0,Features,,,,,,,Specifications,17.6 kmpl,1496 CC,88.73bhp,132Nm,15,5,Others,Petrol Engine,1496,88.73bhp@5600rpm,132Nm@3000rpm,4.0,4.0,DOHC,EFI(Electronic Fuel Injection),No,No,,,,,,,920kg,,,5,Power,,,,,,"Tubeless,Radial",15,4,,,,,,jaipur
0,Petrol,Hatchback,"92,299",Manual,1,1st Owner,Maruti,Maruti Swift,2014,4205,ZXI,₹ 4.26 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2012,Third Party insurance,Petrol,5 Seats,"50,000 Kms",,First Owner,998 cc,Manual,2012.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks","Power Steering, Power Windows Front, Low Fuel Warning Light, Rear Seat Headrest, Cup Holders Front","Air Conditioner, Heater, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment","Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Integrated Antenna, Tinted Glass","Centeral Locking, Child Safety Locks, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Side Impact Beams, Adjustable Seats, Centrally Mounted Fuel Tank, Engine Immobilizer",,Specifications,18.9 kmpl,998 CC,67.1bhp,90Nm,13,5,Others,K Series Petrol Engine,998,67.1bhp@6200rpm,90Nm@3500rpm,3.0,4.0,,MPFI,No,No,3595mm,1475mm,1700mm,2400mm,1295mm,1290mm,870kg,5 Speed,FWD,5,Power,4.6metres,Ventilated Disc,Drum,,,"Tubeless, Radial",13,4,,1350kg,,,,jaipur
0,Diesel,SUV,"50,643",Automatic,2,2nd Owner,Maruti,Maruti Vitara Brezza,2018,6393,ZDi Plus AMT,₹ 9.61 Lakh,₹ 9.66 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2011,Third Party insurance,Diesel,5 Seats,"1,20,000 Kms",,Fourth Owner,1399 cc,Manual,2011.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player","Power Steering, Power Windows Front, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Cup Holders Front, Seat Lumbar Support","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Integrated Antenna","Anti Lock Braking System, Centeral Locking, Power Door Locks, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer","Cd Player, Radio, Speakers Front, Speakers Rear",Specifications,20 kmpl,1399 CC,68bhp,160Nm,14,5,Others,Diesel Engine,1399,68bhp@4000rpm,160Nm@2000rpm,4.0,4.0,SOHC,Common Rail,No,No,3795mm,1680mm,1427mm,2489mm,,,1130kg,5 Speed,Front Wheel Drive,5,Power,4.9m,Ventilated Discs,Drum,148km/hr,14.8 Seconds,"Tubeless,Radial",14,5,284 Liters,,,,,jaipur
0,Diesel,SUV,"1,10,243",Manual,2,2nd Owner,Mahindra,Mahindra TUV 300,2018,6002,T10,₹ 7.93 Lakh,₹ 8.24 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2009,Third Party insurance,Diesel,5 Seats,"1,50,000 Kms",RJ14,Third Owner,1248 cc,Manual,2009.0,Features,"Power Steering, Low Fuel Warning Light, Air Conditioner, Heater, Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Child Safety Locks, Day Night Rear View Mirror","Power Steering, Low Fuel Warning Light, Accessory Power Outlet, Rear Seat Headrest, Cup Holders Front","Air Conditioner, Heater, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock","Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Manually Adjustable Exterior Rear View Mirror, Tinted Glass","Child Safety Locks, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Side Impact Beams, Adjustable Seats, Engine Immobilizer, Engine Check Warning",,Specifications,21.1 kmpl,1248 CC,73.9bhp,190Nm,14,5,Others,Diesel,1248,73.9bhp@4000rpm,190Nm@2000rpm,4.0,4.0,DOHC ,CRDI,No,No,3715mm,1680mm,1620mm,2360mm,,,1100kg,5-Speed,FWD,5,Power,4.7m,Ventilated Disk,Drum,156km/hr,14.2,"Tubeless,Radial",14,5,232 litres,1520kg,69.9X82,17.6:1,,jaipur
0,Diesel,Sedan,"92,721",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz C-Class,2012,4692,220 CDI AT,₹ 9.90 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2013,Third Party insurance,Diesel,5 Seats,"1,20,000 Kms",RJ45,Second Owner,1248 cc,Manual,2013.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks","Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Seat Headrest, Cup Holders Front","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock","Adjustable Head Lights, Fog Lights Front, Fog Lights Rear, Manually Adjustable Exterior Rear View Mirror, Wheel Covers, Power Antenna, Rear Spoiler","Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Centrally Mounted Fuel Tank, Engine Immobilizer, Anti Theft Device",,Specifications,23.2 kmpl,1248 CC,73.94bhp,190Nm,,5,Others,DDiS Diesel Engine,1248,73.94bhp@4000rpm,190Nm@2000rpm,4.0,4.0,DOHC,CRDI,Yes,No,3775mm,1680mm,1620mm,2360mm,1470mm,1480mm,1110kg,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,163 Kmph,14 Seconds,"Tubeless,Radial",,5,236-liters,1520kg,,,,jaipur
0,Petrol,SUV,"93,104",Automatic,1,1st Owner,Hyundai,Hyundai Creta,2016,1452,1.6 VTVT AT SX Plus,₹ 9.51 Lakh,₹ 9.91 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,2015,Third Party insurance,Petrol,5 Seats,"40,000 Kms",RJ14,Second Owner,796 cc,Manual,2015.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Day Night Rear View Mirror, Passenger Side Rear View Mirror","Power Steering, Power Windows Front, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Rear Seat Headrest, Cup Holders Front","Air Conditioner, Heater, Digital Odometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock","Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Wheel Covers","Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Side Impact Beams, Front Impact Beams, Adjustable Seats, Centrally Mounted Fuel Tank, Engine Immobilizer, Anti Theft Device",,Specifications,22.74 kmpl,796 CC,47.3bhp,69Nm,,5,Others,F8D Petrol Engine,796,47.3bhp@6000rpm,69Nm@3500rpm,3.0,4.0,DOHC,MPFi,No,No,3395mm,1490mm,1475mm,2360mm,1295mm,1290mm,720kg,5 Speed,FWD,5,Power,4.6 metres,Solid Disc,Drum,140 kmph,19 Seconds,Tubeless Tyres,,5,177-litres,1185kg,,,,jaipur
